Montpellier,comaast@cdg-64.fr,Pyrénées-Atlantiques,@montpellier_
Quimper,commune.abere@orange.fr,Pyrénées-Atlantiques,@VilledeQuimper
Lille,comabidos@cdg-64.fr,Pyrénées-Atlantiques,@VilledeLoos
Sedan,mairie.abitain@wanadoo.fr,Pyrénées-Atlantiques,@MuseeSedan
Tours,mairie-abos@wanadoo.fr,Pyrénées-Atlantiques,@villedetours
ACCOUS,mairie@accous.fr,Pyrénées-Atlantiques, 
AGNOS,mairie.agnos@wanadoo.fr,Pyrénées-Atlantiques, 
AHAXE ALCIETTE BASCASSAN,mairie.de.ahaxe@wanadoo.fr,Pyrénées-Atlantiques, 
AHETZE,mairie.ahetze@9online.fr,Pyrénées-Atlantiques, 
AICIRITS CAMOU SUHAST,mairie.aicirits@wanadoo.fr,Pyrénées-Atlantiques, 
AINCILLE,mairie.aincille@wanadoo.fr,Pyrénées-Atlantiques, 
AINHARP,mairieainharp@neuf.fr,Pyrénées-Atlantiques, 
AINHICE MONGELOS,ainhice.mongelos@wanadoo.fr,Pyrénées-Atlantiques, 
AINHOA,comainhoa@cdg-64.fr,Pyrénées-Atlantiques, 
ALCAY ALCABEHETY SUNHARET,,Pyrénées-Atlantiques, 
ALDUDES,aldudes.mairie@wanadoo.fr,Pyrénées-Atlantiques, 
ALOS SIBAS ABENSE,mairie.alos@wanadoo.fr,Pyrénées-Atlantiques, 
AMENDEUIX ONEIX,comamendeuixoneix@cdg-64.fr,Pyrénées-Atlantiques, 
AMOROTS SUCCOS,commune.amorots@wanadoo.fr,Pyrénées-Atlantiques, 
ANCE,mairie.ance@wanadoo.fr,Pyrénées-Atlantiques, 
ANDOINS,mairie.andoins@wanadoo.fr,Pyrénées-Atlantiques, 
ANDREIN,commune-dandrein@wanadoo.fr,Pyrénées-Atlantiques, 
ANGAIS,comangais@cdg-64.fr,Pyrénées-Atlantiques, 
